"","latin","uids","common"
"358","Callorhinus_ursinus",34884,"northern fur seal"
"359","Pseudois_nayaur",59542,"bharal"
"360","Protemnodon_hopei",NA,NA
"361","Arctocephalus_australis",161928,"South American fur seal"
"362","Sus_oliveri",NA,NA
"363","Gazella_atlantica",NA,NA
"364","Sus_philippensis",315376,"Philippine warty pig"
"365","Panthera_uncia",29064,"snow leopard"
"366","Redunca_redunca",59556,"Bohar reedbuck"
"367","Capreolus_pygargus",48560,"Eastern roe deer"
"368","Tragelaphus_scriptus",66440,"bushbuck"
"369","Candiacervus_spII",NA,NA
"370","Pan_troglodytes",9598,"chimpanzee"
"371","Palaeopropithecus_ingens",1513477,"large sloth lemur"
"372","Hyaena_hyaena",95912,"striped hyena"
"373","Manis_paleojavanica",NA,NA
"374","Capra_falconeri",48167,"markhor"
"375","Axis_calamianensis",NA,NA
"376","Troposodon_minor",NA,NA
"377","Protemnodon_nombe",NA,NA
"378","Propleopus_oscillans",NA,NA
"379","Ozotoceros_bezoarticus",63824,"pampas deer"
"380","Nanger_soemmerringii",69306,"Soemmerring's gazelle"
"381","Eudorcas_rufina",NA,NA
"382","Antidorcas_australis",NA,NA
"383","Sus_brachgnathus",NA,NA
"384","Litocranius_walleri",69311,"gerenuk"
"385","Antilope_cervicapra",59525,"blackbuck"
"386","Capricornis_crispus",9966,"Japanese serow"
"387","Muntiacus_crinifrons",71854,"black muntjac"
"388","Catagonus_wagneri",51154,"Chacoan peccary"
"389","Hemitragus_jemlahicus",37179,"Himalayan tahr"
"390","Hydrochoerus_isthmius",NA,NA
"391","Hadropithecus_stenognathus",523825,NA
"392","Catagonus_stenocephalus",NA,NA
"393","Axis_porcinus",57737,"Hog deer"
"394","Pan_paniscus",9597,"pygmy chimpanzee"
"395","Muntiacus_vuquangensis",109296,"giant muntjac"
"396","Antidorcas_bondi",NA,NA
"397","Elaphodus_cephalophus",109298,"tufted deer"
"398","Capra_aegagrus",9923,"wild goat"
"399","Smutsia_gigantea",1559511,"giant pangolin"
"400","Sus_cebifrons",315377,"Visayan warty pig"
"401","Tayassu_pecari",30535,"white-lipped peccary"
"402","Parahyaena_brunnea",172271,NA
"403","Canis_lupus",9612,"gray wolf"
"404","Antidorcas_marsupialis",59523,"springbok"
"405","Lasiorhinus_krefftii",30667,"northern hairy-nosed wombat"
"406","Lontra_felina",76718,"marine otter"
"407","Zaglossus_hacketti",NA,NA
"408","Wallabia_kitcheneri",NA,NA
"409","Vombatus_hacketti",NA,NA
"410","Thylacinus_cynocephalus",9275,"Tasmanian wolf"
"411","Rupicapra_pyrenaica",72545,"Pyrenean chamois"
"412","Candiacervus_ropalophorus",NA,NA
"413","Redunca_fulvorufula",59555,"mountain reedbuck"
"414","Homo_floresiensis",NA,NA
