"","latin","uids","common"
"540","Daubentonia_robustus",NA,NA
"541","Cephalophus_nigrifrons",129227,"black-fronted duiker"
"542","Caracal_caracal",61394,NA
"543","Muntiacus_reevesi",9886,"Reeves' muntjac"
"544","Macropus_parryi",9318,"whiptail wallaby"
"545","Brachyteles_arachnoides",30594,"woolly spider monkey"
"546","Canis_latrans",9614,"coyote"
"547","Dendrolagus_ursinus",2219194,NA
"548","Plesiorycteropus_madagascariensis",NA,NA
"549","Semnopithecus_dussumieri",NA,NA
"550","Dendrolagus_inustus",38604,"grizzled tree kangaroo"
"551","Neocnus_comes",2546658,NA
"552","Rungwecebus_kipunji",371039,"Highland mangabey"
"553","Papio_kindae",208091,"Kinda baboon"
"554","Pachylemur_jullyi",1513475,NA
"555","Moschus_moschiferus",68415,"Siberian musk deer"
"556","Meles_meles",9662,"Eurasian badger"
"557","Dusicyon_avus",1316008,NA
"558","Oreotragus_oreotragus",66444,"klipspringer"
"559","Viverra_civettina",NA,NA
"560","Cuon_alpinus",68730,"dhole"
"561","Cephalophus_leucogaster",70738,"white-bellied duiker"
"562","Moschus_fuscus",68413,"dusky musk deer"
"563","Dinomys_branickii",108858,"pacarana"
"564","Semnopithecus_priam",1208733,"tufted gray langur"
"565","Hystrix_indica",192883,NA
"566","Macaca_sylvanus",9546,"Barbary ape"
"567","Rhinopithecus_roxellana",61622,"golden snub-nosed monkey"
"568","Philantomba_maxwellii",907741,"Maxwell's duiker"
"569","Muntiacus_putaoensis",109294,"Leaf deer"
"570","Macaca_thibetana",54602,"Pere David's macaque"
"571","Macaca_assamensis",9551,"Assam macaque"
"572","Leptailurus_serval",61405,"serval"
"573","Civettictis_civetta",94186,"African civet"
"574","Cephalophus_rufilatus",129230,"red-flanked duiker"
"575","Cephalophus_natalensis",69299,"Natal duiker"
"576","Colobus_satanas",517012,"Black Colobus"
"577","Trachypithecus_johnii",66063,"Nilgiri langur"
"578","Leopardus_pardalis",32538,"ocelot"
"579","Colobus_vellerosus",378195,NA
"580","Rhinopithecus_brelichi",224329,"Gray snub-nosed monkey"
"581","Pachylemur_insignis",NA,NA
"582","Meles_anakuma",191034,"Japanese badger"
"583","Catopuma_temminckii",61455,"Asiatic golden cat"
"584","Trachypithecus_pileatus",164651,NA
"585","Rhinopithecus_strykeri",1194336,"Burmese snub-nosed monkey"
"586","Macropus_dorsalis",651581,"Black-striped wallaby"
"587","Dicroceros_spA",NA,NA
"588","Cynotherium_sardous",NA,NA
"589","Sarcophilus_harrisii",9305,"Tasmanian devil"
"590","Mesopropithecus_globiceps",NA,NA
"591","Dendrolagus_bennettianus",168239,NA
"592","Piliocolobus_pennantii",591944,"Pennant's red Colobus"
"593","Hyemoschus_aquaticus",666915,"Water chevrotain"
"594","Caracal_aurata",NA,NA
"595","Capromeryx_minor",NA,NA
"596","Raphicerus_campestris",59544,"steenbok"
"597","Neocnus_dousman",2546657,NA
"598","Macaca_fuscata",9542,"Japanese macaque"
"599","Dendrolagus_scottae",65609,"tenkile tree kangaroo"
"600","Piliocolobus_oustaleti",NA,NA
"601","Canis_aureus",68724,"golden jackal"
"602","Piliocolobus_bouvieri",NA,NA
"603","Piliocolobus_epieni",NA,NA
"604","Phascolarctos_cinereus",38626,"koala"
"605","Raphicerus_melanotis",66435,"Cape grysbok"
"606","Dorcatragus_megalotis",1027983,"beira"
"607","Canis_adustus",68723,"side-striped jackal"
"608","Dendrolagus_dorianus",65608,"Doria's tree kangaroo"
"609","Warendja_wakefieldi",NA,NA
"610","Symphalangus_syndactylus",9590,"siamang"
"611","Proteles_cristata",9680,"aardwolf"
"612","Megalibgwilia_ramsayi",NA,NA
"613","Macropus_greyi",NA,NA
"614","Canis_simensis",32534,"Ethiopian wolf"
"615","Borungaboodie_hatcheri",NA,NA
"616","Ailurops_ursinus",165204,NA
