"","coords","all","natural","current","threatened","missing"
"14048","1495537.21944444_-1096676.8028169",25,25,18,2,7
"14049","1592023.49166667_-1096676.8028169",25,25,17,1,8
"14050","1688509.76388889_-1096676.8028169",27,27,20,2,7
"14051","1784996.03611111_-1096676.8028169",27,27,20,2,7
"14052","1881482.30833333_-1096676.8028169",27,27,21,1,6
"14053","1977968.58055555_-1096676.8028169",28,28,22,2,6
"14054","2074454.85277778_-1096676.8028169",30,30,24,2,6
"14055","2170941.125_-1096676.8028169",30,30,24,2,6
"14056","2267427.39722222_-1096676.8028169",31,31,21,1,10
"14057","2363913.66944445_-1096676.8028169",31,31,21,0,10
"14058","2460399.94166667_-1096676.8028169",39,39,26,1,10
"14059","2556886.21388889_-1096676.8028169",39,39,31,3,5
"14060","2653372.48611111_-1096676.8028169",36,36,28,3,5
"14061","2749858.75833333_-1096676.8028169",41,41,28,3,8
"14062","2846345.03055555_-1096676.8028169",43,43,32,5,5
"14063","2942831.30277778_-1096676.8028169",47,47,34,6,6
"14064","3039317.575_-1096676.8028169",49,49,34,4,7
"14065","3135803.84722222_-1096676.8028169",49,49,38,6,3
"14066","3232290.11944444_-1096676.8028169",49,49,34,5,7
"14067","3328776.39166667_-1096676.8028169",49,49,39,7,2
"14068","3425262.66388889_-1096676.8028169",51,51,39,7,5
"14069","3521748.93611111_-1096676.8028169",47,47,39,8,2
"14070","3618235.20833333_-1096676.8028169",46,46,38,7,2
"14071","3714721.48055556_-1096676.8028169",46,46,38,8,2
"14072","3811207.75277778_-1096676.8028169",44,44,33,5,5
"14073","10661733.0805556_-1096676.8028169",15,14,4,0,7
"14074","10758219.3527778_-1096676.8028169",15,14,5,1,6
"14075","10854705.625_-1096676.8028169",16,15,5,1,6
"14076","10951191.8972222_-1096676.8028169",16,15,8,4,3
"14077","11047678.1694444_-1096676.8028169",16,15,8,4,3
"14078","11144164.4416667_-1096676.8028169",7,6,5,1,2
"14079","11240650.7138889_-1096676.8028169",3,2,3,0,0
"14080","11337136.9861111_-1096676.8028169",2,1,2,0,0
"14081","11433623.2583333_-1096676.8028169",2,1,2,0,0
"14082","11530109.5305556_-1096676.8028169",4,3,2,0,0
"14083","11626595.8027778_-1096676.8028169",4,3,2,0,0
"14084","11723082.075_-1096676.8028169",4,3,2,0,0
"14085","11819568.3472222_-1096676.8028169",4,3,2,0,0
"14086","11916054.6194444_-1096676.8028169",4,3,2,0,0
"14087","12012540.8916667_-1096676.8028169",1,0,1,0,0
"14088","12109027.1638889_-1096676.8028169",1,0,1,0,0
"14089","12205513.4361111_-1096676.8028169",1,0,1,0,0
"14090","12301999.7083333_-1096676.8028169",1,0,1,0,0
"14091","12398485.9805556_-1096676.8028169",1,0,1,0,0
"14092","12494972.2527778_-1096676.8028169",1,0,1,0,0
"14093","12591458.525_-1096676.8028169",1,0,1,0,0
"14094","13266862.4305556_-1096676.8028169",2,1,2,0,0
"14095","13363348.7027778_-1096676.8028169",2,1,2,0,0
"14096","13556321.2472222_-1096676.8028169",3,2,2,0,0
"14097","13652807.5194444_-1096676.8028169",3,2,2,0,0
"14098","13749293.7916667_-1096676.8028169",3,2,2,0,0
"14099","13845780.0638889_-1096676.8028169",3,2,2,0,0
"14100","14135238.8805556_-1096676.8028169",6,5,2,1,0
"14101","14231725.1527778_-1096676.8028169",6,5,2,1,0
"14102","14328211.425_-1096676.8028169",5,4,2,1,0
"14103","14424697.6972222_-1096676.8028169",2,1,2,0,0
"14104","14521183.9694444_-1096676.8028169",2,1,2,0,0
"14105","14617670.2416667_-1096676.8028169",2,1,2,0,0
"14106","14714156.5138889_-1096676.8028169",1,0,1,0,0
